a,52,0.63,-4.02,-0.18,0.976,0.1,0.005,84.6,5.8,0.8
a,49,-1.2,0.93,-0.3,0.963,0.1,0.018,84.5,5.7,0.8
a,50,-0.04,2.51,-1.46,0.978,0.095,-0.05,84.2,5.7,0.2
a,51,4.9,9.53,4.4,1.095,0.119,-0.268,82.4,6,-1.7
a,51,47.02,-15.73,37.85,1.448,0.104,-0.715,83.3,8.4,0.2
a,54,90.9,-150.81,100.53,1.843,0.016,-0.797,91.4,13.3,5.7
a,48,135.64,-274.22,183.6,1.88,-0.139,-0.666,104.6,19.8,14.5
a,49,155.17,-370.78,226.51,1.51,-0.365,-0.416,122.7,27.4,25.6
a,52,147.97,-476.61,204.04,1.211,-0.599,-0.228,147.5,35.1,36.2
a,48,140.83,-514.15,126.59,0.336,-0.555,-0.233,150.7,27.5,33
a,52,78.02,-308.28,9.28,-0.129,-0.202,-0.229,138.3,21.2,21.9
a,49,19.92,-218.31,-64.51,-0.152,0.225,-0.064,149,22.2,18.7
a,51,-27.51,-117.6,-102.35,-0.342,0.542,0.238,127.2,25.5,14.5
a,53,-121.14,-72.99,-131.4,-0.341,0.351,0.443,106.8,21,12.8
a,48,-255.17,-51.38,-139.1,-0.054,0.192,0.234,109.2,8.8,6.1
a,52,-387.68,13.32,-137.02,0.157,0.362,-0.132,95.6,-0.6,-3.7
a,49,-371.81,85.1,-166.87,0.718,0.74,-0.873,91.4,-18.8,-11.8
a,51,-315.84,33.34,-170.65,0.64,0.807,-1.808,89.7,-34.9,-20.5
a,51,-166.61,161.63,-65.91,0.528,0.47,-3.238,81.5,-43.4,-23.9
a,53,33.89,62.08,36.2,0.412,0.264,-3.15,78.2,-41.6,-22
a,48,266.86,42.92,100.77,0.583,0.335,-2.227,76.1,-28.8,-17.1
a,51,469.01,36.94,154.36,0.53,0.056,-1.151,66.8,-3.8,-17.7
a,51,508.08,-19.89,137.39,0.446,-0.74,-0.158,62.2,10.2,-10.6
a,51,394.55,122.57,90.4,0.439,-0.737,0.317,51.9,17.7,-2.1
a,51,154.86,130.57,120.37,0.643,-0.092,0.752,44.5,21,10.8
a,51,-204.21,84.36,67.02,0.007,0.937,1.245,40.2,10.6,14.3
a,50,-447.55,94.56,119.21,0.564,1.12,0.582,35.5,-11.8,20.2
a,50,-512.37,-22.45,199.1,0.466,1.339,-0.207,36.6,-37.4,30.2
a,51,-379.38,73.13,218.39,-0.246,1.221,-1.872,32.9,-56.8,41.3
a,61,-183.82,58.24,117.8,-0.458,1.615,-2.928,29.3,-68,48.5
a,40,61.73,96.14,-34.42,-1.063,1.132,-2.61,25.5,-65.5,47.1
a,51,242.21,64.77,-147.27,-0.076,0.712,-1.904,22.2,-53.2,39.6
a,50,383.62,32.18,-221.74,0.132,0.343,-0.878,18.7,-25.7,14.2
a,51,440.51,-46.44,-260.19,0.599,-0.112,-0.057,29.6,-4.4,0
a,49,424.27,-85.56,-282.83,0.771,-0.429,0.593,35.7,10.4,-6.7
a,51,249.96,-103.99,-220.58,1.523,-0.966,1.11,41,23.2,-18
a,51,-62.24,54.21,15.2,1.216,-1.155,1.234,38.2,20,-17.2
a,51,-247.85,150.28,183.48,1.454,-0.847,0.377,30.6,7.3,-7.8
a,51,-294.78,55.49,221.26,0.641,-0.357,-0.495,30.5,-10.1,-2.2
a,51,-240.52,30.41,184.33,0.377,0.402,-1.101,27.3,-16.2,-3.4
a,51,-115.15,-0.66,115.48,-0.278,0.754,-1,27.3,-22,2.5
a,50,-104.53,2.21,77.88,-0.299,0.613,-0.763,20.6,-17.7,-1.8
a,51,-115.28,100.23,39.55,-0.117,0.248,-0.696,11.8,-17.1,-10.1
a,52,-131.08,372.14,1.9,0.564,-0.185,-0.614,-0.2,-22.2,-15.4
a,48,-148.3,318.43,-60.24,0.975,-0.258,-0.386,-3.5,-27,-18.7
a,57,-174.85,251.6,-64.57,1.192,-0.316,-0.436,-5.3,-33.5,-21.9
a,44,-140.3,272.47,-53.46,1.231,-0.06,-0.625,-5.3,-34.1,-24.7
a,51,-95.93,240.98,-38.69,1.384,-0.139,-0.45,-4.2,-34,-25.3
a,51,-21.28,164.2,-20.63,1.428,0.009,-0.434,0.3,-29.7,-25
a,51,79.67,-18.66,-4.02,0.986,0.035,-0.655,9.5,-21.6,-26.4
a,50,50.86,18.63,16.67,1.159,-0.025,0.056,20.3,-16.4,-21.3
a,79,-1.08,-33.62,9.83,0.887,0.15,0.02,31.6,-12.5,-17.3
a,21,-13.1,-0.11,0.86,1.018,0.198,0.008,38.7,-9.2,-14.6
a,49,-12.07,-14.21,-4.51,0.968,0.117,0.054,45.8,-7.3,-12.1
a,52,-5.96,-9.08,-1.89,0.988,0.107,0.08,51.7,-5.6,-9.7
a,50,-1.93,-9.08,-0.12,0.978,0.11,0.058,56.7,-3.9,-7.7
a,52,3.38,-5.6,-0.06,0.954,0.127,0.039,60.8,-2,-6.2
a,49,3.01,-0.35,-0.12,0.971,0.118,0.017,64.1,-0.5,-5.2
a,55,2.09,-1.51,0.86,0.956,0.094,0.019,67.2,0.5,-4.2
a,47,-4.25,-1.76,1.77,0.91,0.057,0.028,70.1,0.8,-3.2
Next Letter: b,,,,,,,,,,
b,51,-1.87,-1.27,-2.07,0.986,0.11,0.028,80.1,5.3,0.2
b,52,-1.63,-4.02,-2.07,0.954,0.107,0.023,80.8,5.4,0.3
b,50,-0.59,-2,-1.83,0.975,0.098,0.021,81.4,5.5,0.3
b,52,-6.08,-4.08,-1.34,0.992,0.115,-0.026,81.8,5.4,0
b,49,-10.42,-37.16,2.14,0.951,0.124,-0.418,80.9,5.1,-3.4
b,51,78.82,11.67,24.11,1.572,0.361,-0.981,80.3,9.2,-2.2
b,52,170.06,-172.29,84.66,2.165,0.335,-0.917,89.3,18,2.2
b,48,224.69,-270.01,203.98,2.351,0.12,-0.318,102.2,28.8,12
b,50,237.14,-444.63,278.39,1.707,-0.061,-0.061,118.8,34.2,21.7
b,51,259.72,-619.07,238.71,1.121,-0.202,0.129,139.5,38.8,29.8
b,51,255.94,-529.77,91.43,-0.327,-0.532,0.35,137.5,36.9,33.7
b,51,93.83,-159.84,-44.74,-0.435,-0.49,0.612,119.4,30.5,33.1
b,51,19.98,-31.79,-119.01,-0.093,0.422,0.591,101.8,32,31.1
b,50,-123.33,121.04,-161.62,-0.099,0.587,0.935,80.6,26.8,28.2
b,52,-296.25,-27.51,-202.82,0.204,0.632,0.286,72.2,18.8,18.5
b,49,-407.64,10.02,-172.24,0.633,0.609,0.063,67.9,5.6,9.1
b,52,-477.03,50.73,-132.38,0.708,1.046,-0.502,65.2,-19.2,2.3
b,48,-436.38,-34.78,-94.17,1.242,1.419,-1.953,66.9,-40.2,-2.3
b,51,-193.22,11.91,-12.94,-0.042,1.463,-3.349,66.3,-50,-2.9
b,51,77.9,125.01,24.91,0.706,0.803,-3.145,59.9,-46.1,-1.7
b,52,295.25,1.6,18.19,0.577,0.784,-2.463,59.8,-30.7,-0.7
b,48,463.28,64.34,70.68,1.298,0.507,-1.353,56.7,-8.5,2.7
b,51,420.18,-30.08,167.61,1.855,-0.579,-0.574,58.3,13,11.2
b,50,339.5,-22.27,229.8,1.117,0.089,-0.224,62.1,26.1,17.6
b,52,197.96,-7.62,270.63,0.555,0.253,0.271,61.6,34.3,30.5
b,54,11.07,-19.64,233.4,-0.084,0.485,0.756,52.5,34.5,45.2
b,46,-124.31,34.13,144.6,-0.655,0.73,0.806,50.9,28.8,51.9
b,49,-243.76,16,77.4,-0.694,0.705,0.343,36.4,20.7,50.2
b,53,-271.95,18.63,14.35,-1.08,0.497,-0.247,20.7,9,41.5
b,49,-273.36,68.31,-102.6,-0.959,0.678,-1.073,17.3,-4.4,36.5
b,50,-168.13,97.06,-239.38,-0.154,0.54,-2.393,12.5,-12.8,24.5
