a,49,-0.53,-7.74,0,0.999,0.034,0.056,82.3,-0.5,1.4
a,51,-7,-7.56,-0.85,0.967,0.082,0.06,82.9,0,1.7
a,51,0.26,-8.72,0.86,0.97,0.079,0.077,83.4,0.7,2.1
a,51,-1.87,-1.39,-0.79,0.99,0.074,0.028,83.7,1.1,2
a,51,-5.54,-22.2,1.77,1.083,0.08,-0.124,84.5,1.4,0.8
a,51,37.49,-20.98,26.19,1.483,0.221,-0.49,85.5,3.3,2.1
a,51,109.33,-141.59,103.28,1.854,0.2,-0.809,92.8,8.8,7.4
a,51,149.31,-241.38,189.21,1.832,-0.158,-0.556,105.1,16.5,17.1
a,51,117.69,-343.68,232.43,1.469,-0.6,-0.176,122.6,22.5,28.9
a,51,92.18,-426.2,213.81,0.975,-0.707,-0.106,130.8,17.7,33.1
a,51,107.01,-389.88,146.49,0.299,-0.449,-0.259,132.5,12.4,30.6
a,52,93.46,-305.96,3.97,-0.315,0.03,0.132,148.4,17.3,30.8
a,51,-4.62,-176.75,-80.87,-0.087,0.676,-0.24,132.8,24.9,19.8
a,49,-133.89,-138.66,-121.09,0.051,0.355,0.495,119.4,20.9,19.9
a,51,-331.59,-26.42,-105.34,0.139,0.215,0.215,106.3,9.4,18.3
a,51,-449.99,92.11,-105.16,0.164,0.269,-0.223,90.1,-4.9,5.7
a,49,-475.38,177.81,-81.42,0.783,0.44,-1.121,81.4,-28.2,1.8
a,51,-307.11,43.53,1.83,0.618,1.253,-3.101,79.2,-43.8,1.8
a,50,63.37,90.77,29.24,0.317,1.045,-3.125,74.7,-40.7,3.3
a,52,338.21,-38.13,65.01,0.709,0.752,-2.097,76.6,-23.1,6.7
a,50,524.86,-106.92,102.42,0.414,0.366,-0.817,73.4,5.9,1.6
a,51,503.99,-173.94,106.88,0.293,-0.283,0.004,76.8,20.3,6.1
a,49,399.86,-51.32,48.83,-0.149,-0.564,0.212,65.4,24.1,10.2
a,51,230.91,83.45,18.56,-0.013,-0.438,0.674,51.8,25.6,18
a,49,-24.33,51.46,15.93,0.004,-0.299,0.647,41.9,17,25.8
