M5#, time(ms), gX (deg/s), gY (deg/s), gZ (deg/s), aX (g), aY (g), aZ (g), pitch (deg), roll (deg), yaw (deg)
3,45,-137.68,124.16,-103.33,0.135,0.438,-1.195,-4.3,-29.5,-35.1
3,47,-67.36,85.16,-177.67,0.293,0.433,-1.576,-8.3,-32.6,-43.5
3,56,27.61,67.76,-224.48,0.635,0.281,-1.471,-12.1,-31.1,-56
3,46,96.03,-0.84,-209.16,0.924,0.174,-1.117,-12.1,-26.7,-65.7
3,49,141.01,-21.35,-166.38,0.834,0.069,-0.851,-2.7,-16.3,-69.6
3,54,164.2,-16.53,-116.88,0.793,-0.254,-0.481,6.8,-8.6,-69
3,53,154.01,16.92,-75.25,0.76,-0.232,-0.257,14.8,-2.8,-64.7
3,123,140.46,97.85,-38.08,0.655,-0.184,-0.088,13.3,10,-60.1
3,5,94.44,199.29,-4.02,0.735,-0.315,0.082,20.4,5.4,-50.2
3,20,27.61,229.32,-8.79,0.784,-0.356,0.166,22.9,1.5,-41.2
3,51,-48.69,236.58,-39.42,0.901,-0.379,0.115,19.2,-4.3,-35.7
3,45,-101.6,228.22,-79.53,1.175,-0.231,-0.044,19.4,-9.2,-33.7
3,53,-138.1,179.82,-106.69,1.377,-0.095,-0.226,20.3,-14.6,-34.9
3,47,-163.86,157.6,-105.77,1.254,-0.011,-0.165,23.4,-19,-35
3,50,-200.36,80.82,-98.14,1.503,0.183,0.019,28.9,-23.6,-33.8
3,50,-182.9,74.72,-93.07,0.942,0.258,0.091,32.4,-25.6,-31.9
3,51,-135.72,50.24,-86.67,0.972,0.193,0.121,36.9,-26,-29.8
3,50,-25.01,13.5,-48.03,1.261,0.024,0.042,44,-23,-27.1
3,50,-7.31,-44.36,-5.25,0.858,-0.027,0.414,48.9,-20.1,-19.4
3,51,12.53,-4.14,2.81,0.801,0.116,0.5,50.4,-15.5,-11.6
3,50,2.52,5.87,1.22,0.928,0.155,0.456,51.9,-11.8,-5.9
3,51,2.64,-9.08,0.37,0.966,0.164,0.297,55.1,-8.5,-2.5
3,50,2.15,3.8,1.77,0.976,0.135,0.34,57.1,-6,0.8
3,51,-2.79,-0.66,-2.13,0.894,0.145,0.394,58.3,-4,4.1
3,49,-0.59,4.22,-1.64,0.929,0.123,0.371,59.5,-2.3,6.7
3,52,2.64,1.6,-0.18,0.934,0.134,0.375,60.5,-0.7,8.9
3,48,1.67,-0.42,-1.34,0.951,0.125,0.387,61.5,0.5,10.8
Next Letter: 4,,,,,,,,,,
4,52,2.77,-2.12,0.13,0.937,0.134,0.385,66.5,7.8,22.3
4,50,1.91,-1.45,0.92,0.929,0.133,0.374,66.6,7.9,22.3
4,50,1.18,0.01,0.49,0.932,0.134,0.39,66.5,7.9,22.3
4,50,0.45,-2.67,1.71,0.918,0.124,0.383,66.6,7.8,22.4
4,50,0.69,-1.15,0.98,0.941,0.145,0.387,66.6,7.9,22.4
4,50,-0.53,-2.25,0.74,0.949,0.13,0.386,66.7,7.8,22.4
4,50,-0.23,-5.91,1.22,0.924,0.136,0.385,66.9,7.7,22.4
4,56,-2.48,-10.79,1.16,0.995,0.141,0.339,67.8,7.6,21.9
4,48,-2.85,7.28,-6.65,1.037,0.143,0.261,68.5,7.5,20.5
4,47,49.76,34.5,90.52,2.046,-0.054,-0.213,66.8,9.8,24.7
4,50,46.65,-165.82,217.66,1.806,-0.097,-0.011,76.9,9.9,30.2
4,50,43.84,-241.44,291.45,1.718,-0.31,0.276,89,12.1,44.8
4,50,9.3,-347.58,299.56,1.289,-0.492,0.366,106.3,12.5,59.8
4,50,5.08,-386.83,269.54,0.886,-0.729,0.217,114.2,5.1,63.9
4,50,15.58,-336.9,189.4,0.226,-0.894,-0.021,113.6,-6.4,62.1
4,51,2.7,-192.74,78.68,0.178,-0.564,-0.147,107.4,-15.5,54.1
4,49,-14.45,-184.62,-11.29,0.055,0.117,-0.116,116.5,-16.2,53.6
4,51,-24.76,-107.59,-86.36,-0.178,0.557,-0.181,101.1,-5,39.2
4,49,-29.95,-41.06,-130.31,-0.045,0.414,-0.118,86.8,5.5,25.5
4,52,-33.18,-23.55,-159.66,0.208,0.014,-0.222,88,3.7,17.2
4,49,5.51,-1.15,-193.36,0.459,-0.961,-0.479,78.3,-4.9,3
4,52,85.16,72.03,-165.89,1.108,-1.48,-0.344,74.6,-0.5,-5.7
4,48,54.4,46.09,-54.2,1.075,-1.621,-0.236,72.4,2.1,-8.3
4,52,-59.37,55.8,63.18,0.866,-1.563,-0.125,69.5,-0.9,-5
4,48,-186.08,67.09,128.67,0.672,-1.036,-0.208,61.2,-16.8,-0.4
4,53,-275.62,52.14,159.85,0.685,-0.562,-0.769,58.4,-31.4,8.1
4,48,-148.6,-4.26,187.2,0.388,-0.101,-1.656,58.6,-38.5,17
4,53,25.41,0.38,165.78,0.333,-0.157,-1.437,51.7,-32.5,10.6
4,47,114.52,-125.66,117.44,-0.009,-0.351,-1.061,48.9,-25.8,3
4,51,144.55,-77.62,54.08,-0.11,-0.463,-0.659,43.8,-20.9,-3.3
4,49,115.38,-77.32,9.65,-0.158,-0.348,-0.245,37.4,-20.5,-7.3
4,51,65.94,-22.63,-32.89,-0.127,-0.188,0.03,38.6,-17.1,-8.9
4,53,-46.8,-16.59,-42.78,-0.112,-0.178,0.238,30.4,-21.7,-2.3
4,51,-173.44,-8.35,-62.8,-0.115,-0.238,0.215,23.3,-32.7,1.2
4,46,-278.85,71.67,-88.56,-0.014,-0.221,0.011,20,-45.5,-2.8
4,50,-340.44,93.03,-101.44,0.47,-0.063,-0.587,18.8,-53.8,-14.4
4,51,-246.01,108.11,-64.75,0.562,0.284,-1.391,13.3,-66.4,-17.7
4,50,-112.71,108.9,-20.08,0.779,0.355,-1.854,7.8,-72,-18.7
4,51,39.57,122.08,0.55,0.694,0.239,-1.52,1.6,-70,-18.7
4,50,107.62,78.5,11.3,0.741,0.081,-0.976,3.6,-54.4,-23.3
4,50,140.16,110.61,28.75,0.61,0.003,-0.475,6.2,-40.2,-24.2
4,51,108.66,185.25,21.79,0.486,-0.229,-0.265,5.4,-32.8,-23.6
4,50,50.74,284.31,-8.66,0.515,-0.321,0.016,1.2,-30.5,-20.2
4,52,5.33,327.28,-67.62,0.875,-0.252,0.279,-3.5,-28,-17.6
4,49,-14.26,255.93,-115.54,1.168,-0.148,0.339,-2.7,-25.5,-17.4
4,50,-17.19,198.74,-116.39,1.564,0.089,0.335,0.9,-21.9,-17.9
4,50,-4.38,110.18,-77.94,1.466,-0.065,0.21,8.3,-19.2,-17.3
4,51,8.99,-34.35,-33.32,1.049,-0.105,-0.245,19.9,-16.7,-18.1
4,54,12.59,-10.61,15.08,1.137,0.175,0.033,29.5,-12.3,-14.5
4,46,1.48,34.01,5.74,0.72,-0.003,0.431,32.7,-10.5,-7.4
4,50,-19.15,48.05,-12.02,0.857,0.128,0.593,33.9,-8.7,-1.7
4,50,-6.39,-4.38,-8.3,1.091,0.051,0.447,39.2,-7.3,1.6
4,50,-2.91,-11.83,-0.42,0.858,0.029,0.429,43.3,-6,5.3
4,50,-18.66,-2.98,-7.14,0.884,0.131,0.465,46.1,-4.8,8.3
4,51,-23.54,5.93,-9.52,0.882,0.11,0.419,48.5,-4.1,10.4
4,50,-23.11,0.01,-11.96,0.938,0.157,0.466,50.6,-3.2,12.3
4,50,-15.12,-16.41,-11.84,0.891,0.082,0.523,52.6,-2.7,14.5
4,51,-3.95,-10.79,0,0.906,0.071,0.489,54.4,-1.9,16.6
4,49,-3.03,-10.97,0.8,0.885,0.101,0.436,56.2,-0.8,18
4,50,-1.2,-8.04,1.1,0.918,0.129,0.444,57.6,0.3,19.2
Next Letter: 5,,,,,,,,,,
5,49,-0.23,-3.83,1.04,0.917,0.113,0.419,65,6.2,25.2
5,51,1.42,-0.54,-0.06,0.915,0.096,0.423,65,6.1,25.1
5,54,-0.84,-0.29,-1.16,0.936,0.104,0.414,65.1,6.1,24.8
5,46,-0.35,-1.94,-0.67,0.919,0.103,0.411,65.2,6,24.7
5,51,-7.24,2.51,-2.13,0.944,0.113,0.379,65.4,5.8,24.2
5,50,-15.73,-5.85,-6.28,1.009,0.124,0.349,66.3,5.2,23.1
5,70,-18.41,4.16,1.47,1.155,0.131,0.171,68,4.3,21
5,32,33.83,-17.51,80.39,2.275,0.063,-0.132,68.6,5.4,23.6
5,48,21.2,-157.82,199.04,2.222,-0.171,0.061,76.1,6.4,33.1
5,54,1.61,-288.68,273.2,1.932,-0.302,0.374,91.7,6.5,47.9
5,46,15.52,-413.87,286.93,1.461,-0.304,0.574,110.8,7.2,61.1
5,50,52.75,-507.43,240.6,0.819,-0.279,0.335,125,5.7,65.3
5,54,99.57,-472.89,120.06,-0.112,-0.36,0.23,125.8,1.3,65.7
5,46,98.16,-197.01,-12.39,-0.215,-0.091,0.076,134.8,5.8,65.2
5,52,62.34,-76.89,-67.68,0.012,0.085,0.041,138.8,9,61.6
5,56,-9.32,-43.57,-103.08,0.014,0.05,0.271,141.3,8.5,55.9
5,42,-110.39,-4.08,-132.14,-0.046,-0.124,0.028,141.4,3.9,50.3
5,50,-133.71,99.87,-164.73,0.155,-0.496,-0.287,118.2,-10.9,31.4
5,55,-82.56,118.24,-130.61,1.128,-1.134,-0.77,111.7,-15.4,24.2
5,46,-5.17,58.61,-10.25,1.281,-1.487,-1.098,109,-15.7,23.8
5,51,26.94,49.57,87.28,1.014,-1.375,-0.798,106.5,-14.3,28.2
5,49,3.99,44.02,141.48,0.749,-1.017,-0.411,104.4,-14.1,35.2
5,50,-34.53,34.62,158.33,0.476,-0.602,-0.271,92.6,-20.6,33.7
5,50,-80.91,18.63,147.89,0.255,-0.258,-0.238,83.3,-26.4,29.9
5,51,-125.1,39.2,103.15,0.02,-0.089,-0.186,81.3,-32.8,35.2
5,49,-176.68,73.38,50.05,0.012,0.075,-0.154,77.7,-41.5,37.6
5,50,-213.91,91.26,-8.17,0.057,0.298,-0.33,63.3,-38.1,24.5
5,50,-187.6,108.9,-80.14,0.247,0.522,-0.713,51.5,-35.1,9.8
5,51,-118.08,121.23,-143.18,0.452,0.675,-1.136,45.3,-41.2,2.5
5,50,-1.57,130.08,-195.43,0.885,0.695,-1.497,38.8,-41.2,-7.3
5,50,125.87,83.57,-223.51,1.189,0.296,-1.378,34.6,-34.9,-18.4
5,50,199.18,47.62,-185.97,1.476,-0.011,-1.007,32.3,-25,-27.7
5,50,205.46,31.02,-103.82,1.312,-0.428,-0.595,30.7,-14.7,-32.9
5,50,145.1,11.91,13.55,1.271,-0.767,-0.344,30.1,-7.5,-32.2
5,50,85.16,-68.23,90.52,0.929,-0.643,-0.438,33.5,-3.2,-27.7
5,50,94.75,-54.92,145.08,0.77,-0.623,-0.725,36.3,1.5,-20.5
5,50,150.29,-108.57,174.56,0.508,-0.665,-0.777,39.4,2.3,-16.4
5,50,212.12,-87.82,164.37,0.231,-0.823,-0.568,39.2,3,-12
5,50,217.55,-93.8,123.72,0.062,-1.041,-0.171,37.8,-0.2,-6.3
5,51,170.67,-20.5,83.99,0.278,-1.117,-0.025,35.1,-4.2,-1.9
5,50,82.9,5.87,83.01,0.34,-1.146,0.205,32,-10.7,3.3
5,50,-46.12,42.37,83.01,0.389,-1.004,0.229,28.5,-20.9,8.2
5,50,-158.06,52.38,118.11,0.318,-0.688,0.122,25.7,-34,13.3
5,51,-202.01,59.22,112.86,0.196,-0.297,-0.115,24,-45.6,13.5
5,49,-158.06,-8.96,114.69,-0.052,0.195,-0.68,20.1,-42.9,5.3
5,50,-64.62,-4.2,102.05,-0.472,0.249,-0.757,12.7,-36.9,0.6
5,50,-10.48,-1.27,53.96,-0.741,0.147,-0.649,3.6,-30.5,-3.3
5,51,2.52,86.56,-5.55,-0.468,-0.078,-0.517,-6.9,-26.8,-10.2
5,49,-32.15,112.81,-41.32,-0.271,-0.125,-0.369,-15.8,-26.4,-18
5,50,-82.26,258.86,-63.78,0.033,-0.458,-0.414,-24,-33.1,-24.3
5,53,-89.21,359.57,-89.35,0.286,-0.13,-0.079,-43,-37.9,-29.1
5,48,-83.6,343.82,-133.85,0.818,-0.317,-0.028,-40.3,-38.8,-30.4
5,50,-42.89,326.98,-138.06,1.067,-0.167,-0.166,-36.5,-36.1,-33.1
5,51,-14.39,351.51,-133.05,1.664,-0.172,0.062,-33.7,-32.2,-33.5
5,51,40.18,328.14,-77.82,1.958,-0.238,0.077,-50.4,-30.1,-37.5
5,51,44.09,253.8,-49.07,2.063,-0.322,0.329,-63.4,-27.9,-40
5,49,52.02,103.47,1.04,1.581,-0.268,-0.011,-46.1,-23,-34
5,50,49.27,35.66,11.17,1.08,-0.182,0.06,-28.7,-18.9,-28
5,51,57.09,-24.16,24.23,1.126,-0.129,0.016,-10.9,-14.5,-22.6
5,50,10.76,16.92,3.42,0.851,-0.055,0.433,-0.5,-12.4,-15
Next Letter: 6,,,,,,,,,,
6,51,1.79,-0.48,0.37,0.923,0.041,0.438,64.6,2.7,25.6
6,50,-0.96,-1.82,-0.24,0.917,0.046,0.434,64.7,2.6,25.5
6,50,-0.04,1.84,-0.91,0.913,0.037,0.431,64.6,2.6,25.4
6,51,-0.1,-1.51,-0.48,0.923,0.045,0.435,64.7,2.6,25.4
6,50,0.69,0.32,-0.36,0.906,0.042,0.43,64.6,2.6,25.4
6,51,0.2,-2.31,-0.42,0.926,0.043,0.438,64.7,2.5,25.3
6,50,1.12,-0.9,-0.85,0.906,0.042,0.429,64.7,2.6,25.3
6,50,-2.91,-9.75,-1.95,1.037,0.069,0.343,66.2,2.6,24.2
6,50,17.72,2.7,15.87,1.427,0.153,-0.319,67.5,3.9,19.3
6,52,67.16,-88.12,126.04,2.313,-0.139,-0.18,72.1,7.4,25.9
6,49,64.23,-249.74,203.92,1.991,-0.317,0.208,84.3,10.5,35.9
6,50,12.77,-428.45,225.59,1.802,-0.539,0.543,105.8,11.1,47.2
6,50,-15.97,-539.29,216.98,1.312,-0.642,0.372,132.7,10.3,58
6,50,-25.86,-424.55,169.19,0.496,-0.775,-0.068,135.7,-0.9,55.9
6,50,-42.58,-309.99,84.17,0.072,-0.597,-0.323,129.5,-11.7,46.8
6,53,-23.05,-186.69,6.66,0.066,-0.141,-0.375,119.9,-14,30
6,49,5.88,-174.49,-62.62,-0.301,0.484,-0.453,105.5,-5.4,17.1
6,49,32.55,-117.91,-101.01,-0.428,0.658,-0.35,90.1,4.2,6.7
6,50,24.55,-54.43,-127.19,-0.41,0.428,-0.048,72.4,11.5,-0.4
6,51,-67.55,-6.95,-136.1,-0.087,-0.055,0.135,72.7,8.1,-7.3
6,50,-202.92,-16.41,-140.87,0.08,-0.214,-0.026,73.5,-2,-14.4
6,51,-260.11,112.13,-142.39,0.407,-0.314,-0.268,64.3,-17.9,-22.5
6,49,-258.83,144.3,-97.9,0.945,-0.308,-0.866,57.3,-30.6,-27.3
6,50,-251.32,133.37,1.29,1.224,-0.334,-1.396,50.6,-43.2,-27.2
6,51,-204.69,63.24,104.25,1.045,-0.027,-1.921,47.4,-53.6,-21.9
6,50,-97.33,-16.96,175.91,0.726,0.361,-2.094,48.2,-58.5,-13.1
6,50,15.95,-65.72,195.99,0.576,0.478,-1.838,51.5,-57.7,-3.3
6,50,103.17,-107.41,171.82,0.343,0.444,-1.357,56.9,-52.5,5.3
6,49,152.79,-123.22,127.57,0.198,0.55,-1.106,54.8,-34.4,0.5
6,51,189.53,-97.16,71.9,-0.01,0.584,-0.85,50.7,-15.8,-4.8
6,51,186.85,-82.2,-1.09,-0.086,0.459,-0.625,45.7,0.1,-12.1
6,48,174.7,-46.01,-46.2,-0.005,0.215,-0.395,40.7,11.5,-21.4
6,50,122.76,-42.71,-79.77,0.052,-0.02,-0.221,42.8,17.6,-25.4
6,51,44.02,-24.83,-109.37,0.088,-0.481,-0.209,38.9,7.1,-29.8
6,49,-15,7.95,-126.22,0.18,-0.74,-0.291,34.6,-4.3,-33.7
6,50,-52.53,24.91,-111.93,0.47,-0.915,-0.497,32,-13.9,-37.3
6,50,-49.54,23.21,-52.18,0.512,-1.044,-0.814,30.9,-16.4,-39.9
6,51,-18.96,14.84,-2.38,0.523,-0.881,-0.841,30.1,-17.3,-40
6,50,-7.79,1.11,35.77,0.37,-0.647,-0.756,28.6,-20.7,-39.3
6,49,-17.07,26.75,58.78,0.349,-0.399,-0.565,27.2,-23,-38
6,52,-42.83,75.82,67.57,0.237,-0.275,-0.446,23.4,-25.7,-36.9
6,49,-82.13,198.8,55.06,0.22,-0.27,-0.312,15.8,-30.6,-35.4
6,50,-105.33,289.07,22.59,0.39,-0.286,-0.259,8,-35.2,-33.3
6,50,-117.78,314.28,-37.04,0.538,-0.286,-0.078,2.6,-39.1,-31
6,50,-114.12,275.95,-96,0.864,-0.112,-0.051,2.8,-39.2,-30.9
6,56,-96.29,286.27,-121.4,1.296,0.124,0.164,0.9,-37.1,-31
6,44,-59.73,227,-87.15,1.503,0.159,0.104,4.7,-32.8,-29
6,51,-15.73,205.94,-54.01,1.565,0.076,0.239,7.2,-28.2,-25.7
6,50,19.06,137.59,-10.92,1.647,-0.042,0.027,13.5,-23.4,-22.2
6,52,49.95,-22.51,14.77,1.734,-0.061,-0.36,14.7,-20.8,-21.4
6,48,18.82,-50.53,33.27,0.747,-0.028,0.319,24.5,-17.2,-13.4
6,51,-6.76,14.84,8.79,0.879,0.023,0.439,29.7,-14.7,-7
6,50,-25.31,-10,-20.93,0.788,0.088,0.461,34.6,-12.7,-2.3
6,49,-4.38,19.6,-18,0.982,0.015,0.357,39.1,-10.9,0.3
6,52,2.77,4.71,-2.38,0.973,-0.05,0.395,43.2,-9.5,3.4
6,49,2.7,-4.08,3.3,0.924,0.004,0.407,46.8,-8,6.6
6,52,2.77,-6.52,4.4,0.89,0.044,0.417,49.8,-6.3,9.6
6,49,2.77,4.04,0.61,0.931,0.034,0.414,52,-4.9,11.8
6,52,2.52,-0.96,1.59,0.923,0.01,0.414,54.1,-4,13.7
6,48,1.97,3.98,1.35,0.943,0.02,0.405,55.9,-3.1,15.2
Next Letter: 7,,,,,,,,,,
7,48,-0.9,-3.28,0.61,0.923,0.029,0.404,66.9,2,23.4
7,50,0.75,0.44,0.61,0.933,0.035,0.398,66.8,2,23.4
7,55,0.93,-2.37,-0.91,0.942,0.041,0.412,66.9,2.1,23.4
7,45,2.28,-3.22,-1.58,0.914,0.034,0.393,67,2.2,23.3
7,50,-0.29,-0.66,-1.95,0.951,0.03,0.389,67.1,2.1,23.1
7,52,-0.16,-2.55,0.25,0.923,0.006,0.382,67.3,1.8,23
7,48,0.69,-4.93,5.92,1.013,0.032,0.285,68.5,1.8,22.1
7,50,66,29.43,47.61,1.317,0,-0.072,70,4.4,20.4
7,54,86.51,-111.26,149.91,1.995,-0.057,-0.097,76,9,28.5
7,47,76.37,-211.41,235.23,1.838,-0.195,0.017,86,12.6,39.5
7,52,68.13,-339.77,276.25,1.5,-0.313,0.013,99.8,12,45.9
7,48,96.82,-360.4,258.98,1.156,-0.47,0.1,109.7,10.8,50.2
7,50,143.33,-408.44,217.9,0.568,-0.555,0.108,117.3,8.7,53.1
7,53,187.46,-269.28,121.95,0.093,-0.647,0.179,113.1,5,53
7,61,163.29,-186.02,47,0.208,-0.714,0.316,108,3.4,50.9
7,38,98.9,-63.95,5.68,0.359,-0.819,0.59,96.8,-1.4,48.5
7,51,-36.6,-59.31,21.24,0.342,-0.965,0.49,87.5,-11.5,45.9
7,51,-140.12,56.41,85.27,0.342,-0.904,0.256,74.9,-25.6,45
7,49,-207.56,83.75,92.59,0.126,-0.63,0.063,61.9,-42,42.9
7,54,-208.42,5.81,85.51,-0.065,-0.285,-0.542,51.4,-49.4,31.2
7,47,-132.49,13.07,72.39,-0.219,-0.19,-0.819,41,-49.2,18.8
7,50,-74.57,-7.19,43.46,-0.438,-0.219,-0.856,31.2,-46.9,8.8
7,51,-26.04,8.8,8.12,-0.508,-0.083,-0.827,21.4,-41.7,-0.9
7,50,-11.27,7.58,-17.51,-0.316,-0.029,-0.626,13.9,-36.3,-11
7,50,-39.35,28.88,-39.36,-0.212,0.05,-0.41,6.5,-31.6,-20.3
7,50,-85.55,70.93,-56.21,0.043,-0.054,-0.018,2.9,-35.9,-23.1
7,51,-196.39,-16.47,-98.38,-0.109,-0.063,-0.242,3.8,-45.9,-28.1
7,49,-245.71,144.06,-169.49,-0.147,0.091,-0.791,-4.4,-48.3,-42.6
7,50,-203.96,185.44,-211.36,0.77,0.219,-1.33,-13.6,-58.5,-53.2
7,50,-124.25,141.98,-154.17,1.061,0.23,-1.519,-20.7,-64.7,-60.9
7,50,-33.25,146.19,-105.77,1.134,-0.033,-1.423,-28,-66.3,-66.2
7,50,2.95,43.04,-29.05,0.978,0.024,-1.32,-30.2,-66.2,-67.6
7,52,64.35,35.47,26.98,0.814,0.119,-0.962,-21.2,-52.6,-63.7
7,49,92.18,53.48,77.64,0.771,0.209,-0.697,-13.3,-39.2,-57.1
7,50,88.58,89.49,80.51,0.562,0.037,-0.481,-7.7,-29.1,-51.2
7,51,41.52,138.2,73.67,0.669,-0.15,-0.463,-4.4,-24.5,-45.4
7,49,3.01,190.44,43.89,0.445,-0.148,-0.515,-5.7,-22.5,-43.9
7,51,-14.69,321.06,-8.54,0.624,-0.174,-0.218,-8.9,-22,-40.5
7,49,-44.54,321.12,-72.69,0.873,-0.069,0.07,-8.4,-21.2,-36.8
7,52,-58.27,208.63,-85.63,1.281,0.016,0.127,-3.7,-20.5,-34.2
7,48,-55.89,147.35,-93.62,1.128,0.129,0.309,1.8,-18.8,-30.6
7,52,-32.94,80.64,-63.17,1.258,0.174,0.382,8.7,-16.3,-26.3
7,48,-24.82,53.66,-48.15,0.994,0.196,0.423,15,-13.3,-20.9
7,53,-4.19,-28.74,-9.33,1.231,0.098,0.373,24.9,-10.9,-15.7
7,52,-2.42,-28.06,-2.5,0.846,0.117,0.417,31.8,-8.3,-9.5
7,50,-3.7,-24.28,2.32,0.823,0.143,0.517,36.6,-5.9,-3.2
7,47,0.87,-5.85,2.08,0.89,0.154,0.419,40.9,-3.7,1.1
7,50,4.54,-0.96,6.35,0.916,0.118,0.432,44.4,-1.9,4.9
7,50,2.7,2.09,7.88,0.946,0.142,0.457,47.1,-0.4,8.4
7,50,2.64,-4.02,5.68,0.899,0.155,0.43,49.7,1.1,11.1
7,50,2.64,5.87,-2.19,0.812,0.118,0.416,51.3,2.2,13.4
7,51,2.77,22.66,-8.85,0.916,0.183,0.476,51.7,3.5,15.1
7,49,0.02,1.9,-3.41,0.97,0.167,0.461,53.4,4.3,16.4
7,55,-2.24,-8.9,-2.38,0.931,0.149,0.448,55.2,4.8,17.7
7,47,-2.06,-13.23,-4.21,0.863,0.125,0.456,56.7,5.1,19
7,52,-1.26,-9.57,-1.95,0.879,0.124,0.472,57.7,5.3,20.3
7,49,-0.9,-6.09,-1.52,0.876,0.168,0.462,58.4,5.9,21.3
7,50,1.54,4.35,-1.46,0.902,0.167,0.441,58.9,6.5,21.9
7,50,2.58,-0.29,-1.16,0.927,0.146,0.438,59.6,6.9,22.3
7,50,2.64,-6.34,-0.12,0.899,0.171,0.445,60.2,7.4,22.8
Next Letter: 8,,,,,,,,,,
8,51,-0.71,-2.61,0.37,0.91,0.158,0.424,64.1,8.9,24.5
8,51,1.48,-0.96,0,0.91,0.153,0.418,64.1,9,24.4
8,50,1,-0.54,-0.3,0.913,0.157,0.424,64,9,24.5
8,50,1.85,-3.47,-0.97,0.916,0.166,0.418,64.2,9.1,24.4
8,51,0.51,-2.67,-2.62,0.929,0.151,0.42,64.3,9,24.2
8,50,-1.81,-5.54,-1.09,0.9,0.143,0.411,64.5,8.9,24.2
8,49,-4.44,-4.75,-2.5,0.955,0.177,0.362,65.1,8.8,23.5
8,50,0.69,21.56,24.3,1.527,0.107,-0.208,66.6,8.1,19.9
8,50,41.28,-94.59,192.33,2.802,-0.198,-0.365,71.4,10.2,29.5
8,50,60.63,-256.09,297.55,1.775,-0.183,0.202,84.2,13.2,44.3
8,50,7.77,-355.88,276.49,1.469,-0.541,0.656,102,13.6,58.2
8,50,-8.1,-453.85,220.04,1.081,-0.655,0.43,124.6,13.2,69.2
8,50,-69.56,-326.53,162.48,0.574,-0.886,0.265,124.6,0.1,67.8
8,57,-164.29,-256.4,69.58,0.333,-0.755,-0.036,121.9,-17.8,60.6
8,46,-145.55,-240.41,30.09,0.531,-0.023,-0.508,120,-21.1,46.2
8,49,-27.57,-301.07,-2.74,-0.555,0.76,-0.632,110.1,-12.8,34
8,54,104.94,-121.94,-139.28,-0.892,0.784,-0.657,116.7,-7.1,26.5
8,44,145.34,4.04,-186.89,-0.346,0.511,-0.149,94.1,7.5,13.5
8,50,81.62,57.32,-186.58,0.034,-0.022,0.07,91.2,11.5,4.2
8,50,20.59,87.9,-188.66,0.427,-0.503,0.142,79.7,3.5,-2.6
8,50,16.86,173.35,-147.7,0.861,-0.91,0.252,71,4.3,-10
8,52,-23.85,134.59,-63.78,1.231,-1.499,0.03,64,3.1,-13.3
8,49,-72.86,104.02,28.02,1.164,-1.382,-0.24,58.9,-0.5,-12
8,50,-148.66,41.82,102.36,0.861,-0.888,-0.515,56.8,-7.9,-6.8
8,53,-233.93,36.27,145.45,0.511,-0.412,-0.616,51.9,-21.4,-5.7
8,47,-281.9,30.59,139.22,0.195,0.188,-0.676,45.2,-27.2,-9.5
8,52,-303.51,47.01,94.79,0.069,0.54,-0.859,36.9,-31.7,-12.6
8,58,-272.38,53.78,17.95,-0.042,0.811,-1.025,28.4,-34.6,-17.5
8,49,-218.06,71.73,-91.12,-0.015,0.893,-1.196,24.9,-45.3,-22
8,43,-138.35,65.93,-183.77,0.375,0.827,-1.487,22.1,-51.3,-29.9
8,52,-48.75,6.36,-221.86,0.539,0.635,-1.617,21.8,-53.8,-41.5
8,48,35.17,-42.35,-156.06,1.073,0.58,-1.573,23.8,-52.1,-48.9
8,50,114.28,-74.33,-43.76,0.803,0.193,-1.463,27.5,-46.4,-51.1
8,53,150.23,-89.95,42.85,0.735,-0.028,-1.086,32.5,-32.9,-49.9
8,48,158.16,-173.57,70.01,0.197,0.109,-0.965,36.5,-20.5,-51.1
8,51,198.81,-119.92,47.79,-0.105,0.233,-0.823,35.1,-6.5,-52.3
8,56,216.88,-67.61,19.41,-0.262,0.401,-0.745,30.5,8.9,-52.1
8,45,221.03,-22.08,-12.94,-0.442,0.467,-0.698,22.6,20.4,-51.9
8,49,199.73,15.82,-55.72,-0.503,0.298,-0.58,12.9,28.8,-53.1
8,55,152.24,9.47,-86.42,-0.414,0.101,-0.445,4.2,33,-56.1
8,53,100.06,9.96,-114.8,-0.276,-0.094,-0.271,-3.4,30.5,-59.3
8,53,41.58,-2.43,-140.32,-0.082,-0.373,-0.177,-4.5,18.5,-60.5
8,40,1.73,6.18,-147.27,0.186,-0.783,-0.212,-2.1,5.2,-58.6
8,50,-8.89,19.06,-117.92,0.674,-0.836,-0.345,2.9,-3.1,-57.5
8,50,-12.49,43.9,-35.34,0.828,-0.662,-0.381,7.7,-8.6,-53.4
8,50,-19.82,87.35,52.86,0.632,-0.664,-0.364,8.8,-14.5,-46.4
8,51,-47.1,182.93,98.21,0.349,-0.537,-0.231,4.2,-22.1,-38.1
8,49,-92.33,239.33,91.62,0.403,-0.578,-0.301,-1.6,-30,-32.1
8,50,-108.5,236.46,54.94,0.436,-0.421,-0.274,-5.3,-36,-28.6
8,50,-111.31,229.69,-9.52,0.484,-0.656,-0.351,-9.3,-42.5,-28.2
8,50,-79.27,274.85,-89.05,0.468,-0.393,-0.426,-13.8,-44.3,-33
8,52,-27.63,343.03,-142.45,0.798,-0.295,0.092,-16.5,-41.9,-33.4
